,Country,Total population as of 1/1/1939,Military deaths from all causes,Civilian deaths due to military activity and crimes against humanity,Total deaths,Deaths as percentage of1939 population,Average Deaths as percentage of1939 population,Military wounded
0,Albania,"1,073,000",30000,200,32000,2.982292637,2.982292637,
1,Australia,"6,968,000",39700,700,40400,0.579793341,0.579793341,"39,803"
2,Austria,"6,653,000",261000,123700,384700,5.782353825,5.782353825,
3,Belgium,"8,387,000",12000,76000,88000,1.049242876,1.05,"55,513"
4,Brazil,"40,289,000",1000,1000,2000,0.004964134,0,"4,222"
5,Bulgaria,"6,458,000",18500,3000,21500,0.332920409,0.33,"21,878"
6,Myanmar (Burma),"16,119,000",2600,250000,252600,1.567094733,1.57,
7,Canada,"11,587,000","5,300","1,700","44,800",0.3866402,0.38,"53,174"
8,China,"517,568,000",3750000,8191000,20000000,3.864226536,3.38,"1,761,335"
9,Cuba,"4,235,000",,100,100,0.002361275,0,
10,Czechoslovakia,"14,612,000",46000,320000,355000,2.429509992,2.38,"8,017"
11,Denmark,"3,795,000",3000,3000,6000,0.158102767,0.16,"2,000"
12,Dutch East Indies,"69,435,000",11500,300000,4000000,5.760783467,5.03,
13,Egypt,"16,492,000",1100,,1100,0.006669901,0,
14,Estonia,"1,134,000",34000,49000,83000,7.319223986,7.3,
15,Ethiopia,"17,700,000",15000,85000,100000,0.564971751,0.56,
16,Finland,"3,700,000",94700,2100,96800,2.616216216,2.62,"197,000"
17,France,"41,680,000",210000,390000,600000,1.439539347,1.44,"390,000"
18,French Indochina,"24,664,000",,2200000,2200000,8.919883231,6.08,
19,Germany,"69,300,000",5318000,3000000,7400000,10.67821068,S2,"7,300,000"
20,Greece,"7,222,000",35100,171800,807000,11.17418998,9.095,"47,290"
21,Guam,"22,800",2000,,2000,8.771929825,6.58,
22,Hungary,"9,129,000",200000,664000,864000,9.464344397,7.27,"89,313"
23,Iceland,"118,900",,200,200,0.168208579,0.17,
24,India,"377,800,000",87000,3000000,3087000,0.817098994,0.58,"64,354"
25,Iran,"14,340,000",200,,200,0.0013947,0,
26,Iraq,"3,698,000",500,200,700,0.018929151,0.01,
27,Ireland,"2,960,000",5000,100,100,0.003378378,0,
28,Italy,"44,394,000",361000,153200,514000,1.157814119,1.135,"320,000"
29,Japan,"71,380,000",2300000,800000,3100000,4.342953208,3.92,"326,000"
30,Latvia,"1,994,500",30000,220000,250000,12.53446979,12.5,
31,Lithuania,"2,575,000",25000,345000,370000,14.36893204,14.36,
32,Luxembourg,"290,000",2905,4201,7106,2.450344828,2.45,
